listing_id,neighbourhood_cleansed,latitude,longitude,property_type,price
18461891,Ditmars Steinway,40.77414229,-73.916246,Apartment,110
20702398,City Island,40.84919062,-73.78650889,House,50
6627449,City Island,40.84977457,-73.78660939,Apartment,125
19949243,City Island,40.84883794,-73.78227587,Boat,100
1886820,City Island,40.84114416,-73.78305229,House,300
5557381,City Island,40.85002381,-73.78932759,House,69
19609887,City Island,40.85197955,-73.78930423,Apartment,150
7949480,City Island,40.85205378,-73.78867963,House,101
21057372,City Island,40.84212398,-73.78519698,Boat,100
16042478,City Island,40.85349119,-73.78860659,Apartment,200
9147025,City Island,40.84486957,-73.7895405,House,125
1936633,City Island,40.85258204,-73.78762098,Apartment,115
19758402,City Island,40.8530609,-73.78948149,House,62
11675715,City Island,40.85139148,-73.78413887,House,85
3400359,Allerton,40.86676961,-73.85937793,House,44
4407790,Allerton,40.86681965,-73.85811594,House,47
715270,Allerton,40.85955928,-73.87066898,Apartment,39
18852048,Allerton,40.85960508,-73.86360867,House,49
759901,Allerton,40.86633066,-73.85642849,House,85
13864221,Allerton,40.86065857,-73.85413708,Apartment,50
12496118,Allerton,40.86946912,-73.85993497,House,105
13109017,Allerton,40.86521252,-73.86768103,Apartment,45
9513511,Allerton,40.85753243,-73.86605467,Apartment,70
19174868,Allerton,40.86758804,-73.86852971,Apartment,65
10801360,Allerton,40.85959069,-73.8700668,Apartment,90
8294259,Allerton,40.86788703,-73.8599937,House,63
182177,Allerton,40.86465805,-73.85708739,Apartment,125
17876530,Allerton,40.86868176,-73.85482829,House,110
5046189,Allerton,40.87054097,-73.84680709,Apartment,200
773041,Allerton,40.85913782,-73.86979422,Apartment,38
755528,Allerton,40.85839659,-73.86968575,Apartment,49
3429765,Allerton,40.86688872,-73.85775618,House,43
9331257,Allerton,40.85872807,-73.86996826,Apartment,35
5647069,Allerton,40.86666784,-73.85634556,House,85
4462008,Allerton,40.86814417,-73.85874498,House,44
20449125,Allerton,40.85929298,-73.86960686,Apartment,109
6292515,Ditmars Steinway,40.77178711,-73.89879851,Apartment,40
19242246,Ditmars Steinway,40.77422406,-73.89833002,Townhouse,120
16860045,Ditmars Steinway,40.76813844,-73.89573491,Apartment,52
13822852,Ditmars Steinway,40.7740718,-73.90037282,House,200
8079482,Ditmars Steinway,40.77165365,-73.90177064,Apartment,130
3043548,Ditmars Steinway,40.7727588,-73.9022083,Apartment,100
13040683,Ditmars Steinway,40.77266352,-73.90267799,Apartment,100
5232121,Ditmars Steinway,40.77775897,-73.91612174,House,55
21055320,Ditmars Steinway,40.77838596,-73.90865815,Apartment,100
20269743,Ditmars Steinway,40.77772545,-73.90718864,Apartment,35
21077625,Ditmars Steinway,40.77894502,-73.92123903,House,97
9505762,Ditmars Steinway,40.77573101,-73.91280258,House,50
20034264,Ditmars Steinway,40.77629475,-73.9198627,Apartment,40
3644017,Ditmars Steinway,40.77590933,-73.91450139,Apartment,100
15716189,Ditmars Steinway,40.77849854,-73.91692551,Apartment,55
17624190,Ditmars Steinway,40.78303908,-73.91782973,House,115
9859181,Ditmars Steinway,40.7827439,-73.91317926,House,220
9825967,Ditmars Steinway,40.77604946,-73.90773738,Condominium,85
14788009,Ditmars Steinway,40.78030632,-73.91003014,Apartment,95
17889021,Ditmars Steinway,40.77872126,-73.90943308,Apartment,89
14021937,Ditmars Steinway,40.77902817,-73.91070906,Apartment,100
13927922,Ditmars Steinway,40.7802781,-73.9147655,Loft,90
12147125,Ditmars Steinway,40.77814101,-73.90660708,Apartment,130
10685496,Ditmars Steinway,40.77939945,-73.91645848,Apartment,22
8391132,Ditmars Steinway,40.77229137,-73.91627886,House,55
8393016,Ditmars Steinway,40.77449437,-73.91505303,House,45
13427702,Ditmars Steinway,40.77436947,-73.91854314,Apartment,65
7859360,Ditmars Steinway,40.77483018,-73.91699767,Apartment,65
16827715,Ditmars Steinway,40.77234808,-73.91789432,Apartment,85
3929317,Ditmars Steinway,40.77317275,-73.91689652,Apartment,54
13330683,Ditmars Steinway,40.77293495,-73.91846435,Apartment,100
8444555,Ditmars Steinway,40.77371721,-73.91450245,House,40
13167611,Ditmars Steinway,40.77366724,-73.91596534,Apartment,92
8316959,Ditmars Steinway,40.77187926,-73.91554672,Apartment,200
11192104,Ditmars Steinway,40.77346717,-73.91736605,Apartment,75
12956315,Ditmars Steinway,40.77373675,-73.91903128,Apartment,100
17234796,Ditmars Steinway,40.77199953,-73.91847714,Apartment,60
764052,Ditmars Steinway,40.7746605,-73.91807087,Apartment,390
4357134,Ditmars Steinway,40.77171541,-73.91768836,Apartment,200
12972200,Ditmars Steinway,40.77687586,-73.92782892,Apartment,125
3250448,Ditmars Steinway,40.77718327,-73.92675945,Apartment,89
8365172,Ditmars Steinway,40.7746896,-73.90727889,Apartment,45
21093522,Ditmars Steinway,40.77159835,-73.91064285,House,129
1046443,Ditmars Steinway,40.77117072,-73.90426986,Apartment,200
6480685,Ditmars Steinway,40.77208837,-73.91082047,House,45
19979903,Ditmars Steinway,40.7723311,-73.9109978,Apartment,75
11625684,Ditmars Steinway,40.77123157,-73.9093173,House,100
20689638,Ditmars Steinway,40.77340495,-73.90857055,House,125
11641041,Ditmars Steinway,40.77309999,-73.91245981,Apartment,188
18159825,Ditmars Steinway,40.77412269,-73.90609628,House,99
15530531,Ditmars Steinway,40.77462345,-73.90773896,Condominium,125
7927466,Ditmars Steinway,40.77273347,-73.91129999,House,150
8741446,Ditmars Steinway,40.77057778,-73.91091263,House,181
19875244,Ditmars Steinway,40.77375302,-73.9110422,Apartment,55
239733,Ditmars Steinway,40.77679442,-73.91686689,Apartment,68
10735397,Ditmars Steinway,40.76893074,-73.90110386,Apartment,110
10789911,Ditmars Steinway,40.77567386,-73.92202286,Apartment,80
15336336,Ditmars Steinway,40.77011771,-73.91134431,House,150
8783113,Ditmars Steinway,40.77604686,-73.90989793,Dorm,65
6950074,Ditmars Steinway,40.77890459,-73.90688293,Apartment,110
13512004,Ditmars Steinway,40.77686257,-73.90830691,Apartment,65
20459144,Ditmars Steinway,40.77061585,-73.90633669,Apartment,50
2896760,Ditmars Steinway,40.77503323,-73.91881637,Apartment,60
6043315,Ditmars Steinway,40.76897614,-73.89957469,House,40
19019592,Ditmars Steinway,40.77473954,-73.91136471,Apartment,133
19282178,Ditmars Steinway,40.77457609,-73.92195468,Apartment,165
13388649,Ditmars Steinway,40.7813454,-73.90786078,House,95
8143851,Ditmars Steinway,40.77655512,-73.91851249,House,80
20857712,Ditmars Steinway,40.77170732,-73.90820209,Apartment,46
1209955,Ditmars Steinway,40.77146569,-73.91660095,House,69
9698613,Ditmars Steinway,40.77472268,-73.90993071,Apartment,35
16147471,Ditmars Steinway,40.78065376,-73.9133167,Apartment,49
20997977,Ditmars Steinway,40.78344664,-73.91121913,Earth House,200
14968955,Ditmars Steinway,40.77085698,-73.90539724,House,80
19950498,Ditmars Steinway,40.77585454,-73.91094043,Apartment,200
11301089,Ditmars Steinway,40.78080163,-73.91024629,Apartment,199
7631233,Ditmars Steinway,40.78261274,-73.91451975,Apartment,55
2519770,Ditmars Steinway,40.77803718,-73.91623114,Apartment,150
20714304,Ditmars Steinway,40.77786492,-73.90819091,Apartment,79
11434386,Ditmars Steinway,40.7716298,-73.91587246,Apartment,45
20871796,Ditmars Steinway,40.78021603,-73.91003385,Apartment,90
10360144,Ditmars Steinway,40.77672906,-73.90992545,Apartment,40
20190640,Ditmars Steinway,40.78165513,-73.90833878,House,59
14587187,Ditmars Steinway,40.77456002,-73.90997402,Apartment,150
15899509,Ditmars Steinway,40.78090104,-73.91837259,Apartment,89
10526346,Ditmars Steinway,40.77922771,-73.92169276,Apartment,34
7254864,Ditmars Steinway,40.77925292,-73.91068171,Other,150
10928176,Ditmars Steinway,40.77197781,-73.90952427,Townhouse,175
6472275,Ditmars Steinway,40.77076609,-73.90903113,House,45
4377221,Ditmars Steinway,40.77808998,-73.90888328,Apartment,45
20674761,Ditmars Steinway,40.76886237,-73.89091734,Condominium,75
17368490,Ditmars Steinway,40.77521701,-73.91155117,House,140
4392596,Ditmars Steinway,40.77431299,-73.9114036,Apartment,65
18549222,Ditmars Steinway,40.77948715,-73.91015016,Apartment,80
20122292,Ditmars Steinway,40.77523407,-73.90714175,Apartment,112
15008306,Ditmars Steinway,40.78268837,-73.91787995,Apartment,87
19784492,Ditmars Steinway,40.77122355,-73.91740383,House,60
19207857,Ditmars Steinway,40.77634357,-73.91111699,Apartment,130
18946376,Ditmars Steinway,40.77204469,-73.90868436,Apartment,35
4772857,Ditmars Steinway,40.77075329,-73.91017896,House,60
18275045,Ditmars Steinway,40.77747609,-73.90892044,Apartment,57
13331735,Ditmars Steinway,40.77282169,-73.91970457,Apartment,100
13575399,Ditmars Steinway,40.77358125,-73.91831994,Apartment,50
6398715,Ditmars Steinway,40.77914841,-73.909022,Apartment,44
13491197,Ditmars Steinway,40.77781045,-73.90756064,Apartment,85
14756273,Ditmars Steinway,40.77391612,-73.91678243,Apartment,60
19477007,Ditmars Steinway,40.76904103,-73.89291409,Condominium,80
7679091,Ditmars Steinway,40.77287276,-73.8905097,House,159
7418871,Ditmars Steinway,40.77170306,-73.9065005,Apartment,65
18476483,Ditmars Steinway,40.77168215,-73.90784015,Apartment,34
20151455,Ditmars Steinway,40.77145491,-73.91163781,House,40
9452237,Ditmars Steinway,40.7758795,-73.90781576,House,130
13492036,Ditmars Steinway,40.77231318,-73.90793318,Apartment,75
2440357,Ditmars Steinway,40.776689,-73.91150613,Apartment,180
17382781,Ditmars Steinway,40.7736718,-73.91516951,Apartment,70
5127571,Ditmars Steinway,40.77362743,-73.90049839,Apartment,36
16179103,Ditmars Steinway,40.78296556,-73.912583,Apartment,60
4211510,Ditmars Steinway,40.7698941,-73.90735403,House,50
4934421,Ditmars Steinway,40.77377028,-73.90801283,Apartment,65
6441936,Ditmars Steinway,40.77707358,-73.90710192,House,84
2051499,Ditmars Steinway,40.77568856,-73.91275062,Apartment,115
5328633,Ditmars Steinway,40.77530359,-73.902732,House,225
20927619,Ditmars Steinway,40.77511123,-73.90637102,House,60
4645841,Ditmars Steinway,40.77741802,-73.91561388,Apartment,129
11098211,Ditmars Steinway,40.7773992,-73.91078851,Apartment,165
20928742,Ditmars Steinway,40.77166067,-73.90962479,Townhouse,49
876792,Ditmars Steinway,40.77093144,-73.91725775,Apartment,69
11624694,Ditmars Steinway,40.77535647,-73.90781307,Apartment,120
20996996,Ditmars Steinway,40.7761774,-73.91741153,Apartment,75
3499016,Ditmars Steinway,40.77901671,-73.90767672,House,100
5728500,Ditmars Steinway,40.77842454,-73.9099364,Apartment,58
3835681,Ditmars Steinway,40.77478202,-73.91912899,Apartment,50
